id,account_id,name,amount,stage,probability,close_date,created_at,last_contact_date,owner_email,variant_id
01f907c2-a5c4-445f-aef2-72b487264acf,d0c6a125-8632-419a-88a5-d9b4f163cc0e,Initrode Q3 Expansion,46000,Proposal,68,,2025-10-29 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,3
02622e05-5394-4d38-92ac-6511e993f34a,f76ce8ea-a658-467b-938b-ec4023756740,Veidt Enterprises Q3 Expansion,35000,Negotiation,52,,2025-12-02 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,4
1271e617-b60c-490b-82d2-892eef9f9f18,b4a6f7e1-5f5f-436b-bc5b-d2048e11836a,Michael Scott Paper Global License,70000,Proposal,61,,2025-10-29 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,3
17ca8d6b-63d5-469d-a2b1-cc0787cd181f,f6fc406b-6075-47b0-a75a-5c87d51a7afa,Roxxon Pilot Project,64000,Negotiation,55,,2025-12-06 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,5
2d882451-bf4c-43f5-865a-b6a1c4bbc3b7,391303f8-e2ab-46c5-b6c3-e90d0e449a64,Rekall Global License,57000,Negotiation,54,,2025-12-18 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,1
2efd2a84-b62e-4c3e-b01a-527d8f5c9dd7,460ec93c-3eca-4ae9-9317-d5450bec38c1,Recall Q3 Expansion,37000,Negotiation,64,,2025-11-28 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,1
2ffb0bae-c815-4d9f-a590-1cdc8a71328b,c4c38eb8-e3b9-433c-b3ba-7d49b5e399cc,Yoyodyne Pilot Project,18000,Closed Won,86,,2025-12-12 06:15:36.332303,2025-12-22 06:52:38.247374,rep@company.com,3
324e1776-5543-4d7c-b803-18beb7e50b00,b5763d1b-7435-4351-add2-645528186406,Pied Piper Security Audit,80000,Proposal,12,,2025-11-12 06:15:36.332303,2025-12-22 06:52:38.247374,rep@company.com,1
3862ae92-ad21-4017-95e0-f244414caa10,9af701a8-4292-4e28-bf5e-69f01bb2dfd0,Wernham Hogg Cloud Migration,85000,Negotiation,31,,2025-12-15 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,5
3b092d7a-f137-46b7-99e0-0664b23c7ff4,eb36e3e9-c642-43b2-9b96-ac918260a43a,InGen Global License,90000,Closed Won,36,,2025-12-15 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,2
3e588435-2baf-41b6-9455-239dd9f827e7,7cbcad38-4d0c-48a3-ae3d-066a09041796,Wayne Ent Pilot Project,50000,Negotiation,21,,2025-11-06 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,5
416cf2ed-6d30-4e77-b3d8-7b4bc02a72f8,89b59c16-4d7c-4b81-8697-60ea1ca9639d,CyberDyne Global License,83000,Negotiation,37,,2025-11-13 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,4
4732b4a8-d5c9-47c6-b8b6-2a0d76e4cf7b,f2f54aa0-a8e0-45cd-a1ef-84b5d0d83670,IronForge Mfg Cloud Migration,88000,Negotiation,65,,2025-10-19 06:15:36.332303,2025-12-23 06:52:38.247374,rep@company.com,3
